section	source_owner	bank	slot	origin	size	first_symbol	last_symbol	status
Tilesets 3	gfx/tilesets.asm	1b	1	0000	4000	Cemetery_GFX	Underground_Block	converted
Tilesets 1	gfx/tilesets.asm	19	1	0000	3fe0	Overworld_GFX	Plateau_Block	converted
bank1E	main.asm	1e	1	0000	3fc0	DrawFrameBlock	TechnicalMachinePrices	converted
Tilesets 2	gfx/tilesets.asm	1a	1	007f	3f80	Dojo_GFX	Facility_Block	converted
Pics 4	gfx/pics.asm	0c	1	0000	3f2b	DodrioPicFront	OldManPicBack	converted
Pics 2	gfx/pics.asm	0a	1	0000	3ea9	GrowlithePicFront	MoltresPicBack	converted
Home	home.asm	00	0	0150	3e56	_Start	PokemonStuffText_id	converted
Pics 1	gfx/pics.asm	09	1	0000	3d6b	RhydonPicFront	TangelaPicBack	converted
Trainer Pics	gfx/pics.asm	13	1	0000	3d04	YoungsterPic	LancePic	converted
bank3	main.asm	03	1	0000	3c4a	_Joypad	PokemonStuffText	converted
bank1	main.asm	01	1	0000	3c49	SpriteFacingAndAnimationTable	_DisplayPokedex	converted
Battle Engine 7	main.asm	0e	1	0000	3be6	Moves	EffectCallBattleCore	converted
Battle Core	main.asm	0f	1	0000	3bc8	BattleCore	PlayBattleAnimationGotID	converted
bank1C	main.asm	1c	1	0000	3b9d	LoadShootingStarGraphics	ClearAllSRAMBanks.PadSRAM_FF	converted
Pics 3	gfx/pics.asm	0b	1	0000	3b7b	ArticunoPicFront	FossilKabutopsPic	converted
NPC Sprites 2	gfx/sprites.asm	05	1	0000	3840	RedBikeSprite	SeelSprite	converted
Pokédex Text	text.asm	2b	1	0000	3838	_RhydonDexEntry	_VictreebelDexEntry	converted
Pics 5	gfx/pics.asm	0d	1	0000	3244	BulbasaurPicFront	VictreebelPicBack	converted
Text 3	text.asm	22	1	0000	2cf9	_RockTunnelB1FHiker3AfterBattleText	_DaycareGentlemanMonNeedsMoreTimeText	converted
Text 2	text.asm	21	1	0000	2ca1	_SilphCo5FRockerEndBattleText	_RockTunnelB1FHiker3EndBattleText	converted
Text 4	text.asm	23	1	0000	2c09	_DaycareGentlemanAllRightThenText	_Route11SuperNerd2BattleText	converted
Text 10	text.asm	29	1	0000	2b94	_CableClubNPCPleaseComeAgainText	_BoxFullCannotThrowBallText	converted
Text 7	text.asm	26	1	0000	2b7b	_PewterGymBrockPostBattleAdviceText	_VermilionGymLTSurgePreBattleText	converted
Text 1	text.asm	20	1	0000	2aaf	_CardKeySuccessText1	_SilphCo5FRockerBattleText	converted
Text 8	text.asm	27	1	0000	2aa4	_VermilionGymLTSurgePostBattleAdviceText	_FuchsiaGymKogaReceivedSoulBadgeText	converted
Text 6	text.asm	25	1	0000	2a38	_Route24CooltrainerM2EndBattleText	_PewterGymBrockPreBattleText	converted
Text 9	text.asm	28	1	0000	2a37	_FuchsiaGymKogaPostBattleAdviceText	_CableClubNPCLinkClosedBecauseOfInactivityText	converted
Text 5	text.asm	24	1	0000	2903	_Route11SuperNerd2EndBattleText	_Route24CooltrainerM2BattleText	converted
bank10	main.asm	10	1	0000	27f3	ShowPokedexMenu	Trade_MonInfoText	converted
Maps 6	maps.asm	11	1	0251	2730	ViridianPokecenter_h	SeafoamIslandsB4F_Blocks	converted
Maps 10	maps.asm	14	1	0000	25af	Route22_h	PokemonMansionB1F_Blocks	converted
Music 1	audio.asm	02	1	1ba3	2451	Music_PkmnHealed_Ch1	Music_Pokecenter_Ch3.sub3	converted
Music 3	audio.asm	1f	1	1bbb	243f	Music_BikeRiding_Ch1	Music_Credits_Ch3.sub8	converted
Maps 8	maps.asm	12	1	0152	223d	Route7_Script	SafariZoneSecretHouse_Blocks	converted
Maps 4	maps.asm	07	1	0a19	1efc	CinnabarIsland_Script	BillsHouse_Blocks	converted
Music 2	audio.asm	08	1	2322	1c30	SFX_Pokeflute_Ch5	Music_DefeatedGymLeader_Ch3.mainloop	converted
Maps 16	maps.asm	17	1	00eb	1a73	Museum1F_h	VictoryRoad1F_Blocks	converted
Maps 2	maps.asm	06	1	0e5b	1585	PalletTown_Script	SilphCo6F_Blocks	converted
Maps 21	maps.asm	1d	1	100c	1572	FuchsiaBillsGrandpasHouse_h	AgathasRoom_Blocks	converted
Font Graphics	main.asm	04	1	1380	1558	PokemonLogoGraphics	WorldMapTileGraphicsEnd	converted
Maps 14	maps.asm	16	1	10b0	14ef	Route6_Script	HallOfFame_Blocks	converted
NPC Sprites 1	gfx/sprites.asm	04	1	0000	1380	ScientistSprite	GamblerAsleepSprite	converted
Maps 18	maps.asm	18	1	1101	1318	ViridianForest_h	SilphCo11F_Blocks	converted
Maps 11	maps.asm	15	1	0000	124f	Route2_h	FuchsiaGoodRodHouse_Blocks	converted
Maps 12	maps.asm	15	1	14e3	11ff	Route2_Script	SilphCo8F_Blocks	converted
Battle Engine 1	main.asm	04	1	28d8	11c8	IsPlayerJustOutsideMap	Random_	converted
